"Approach","Count","Page Size","Mean (in microseconds)","p99 (in microseconds)","p95 (in microseconds)","p50 (in microseconds)"
Items fetched: 10000, Expected: 10000
"skiplimit",10000,200,156603.53978474933,176476.00173950195,170280.69496154785,155414.0249888102
Items fetched: 10000, Expected: 10000
"idlimit",10000,200,164172.46023813882,219094.27642822266,188911.67640686035,162013.05389404297
Items fetched: 10000, Expected: 10000
"skiplimit",10000,500,258234.33796564737,351801.95172627765,351801.95172627765,231935.7395172119
Items fetched: 10000, Expected: 10000
"idlimit",10000,500,190417.86193847656,242758.35355122885,242758.35355122885,170512.99413045248
Items fetched: 10000, Expected: 10000
"skiplimit",10000,1000,289433.77335866296,357668.7177022298,357668.7177022298,260902.32531229657
Items fetched: 10000, Expected: 10000
"idlimit",10000,1000,295268.98860931396,325540.38365681964,325540.38365681964,283458.3918253581
Items fetched: 10000, Expected: 10000
"skiplimit",10000,2000,391080.80863952637,408744.33517456055,408744.33517456055,359788.3383433024
Items fetched: 10000, Expected: 10000
"idlimit",10000,2000,359441.1532084147,362794.3197886149,362794.3197886149,359190.2256011963
Items fetched: 10000, Expected: 10000
"skiplimit",10000,5000,828720.0530370077,699389.0603383383,699389.0603383383,699389.0603383383
Items fetched: 10000, Expected: 10000
"idlimit",10000,5000,716318.6868031819,662297.0104217529,662297.0104217529,662297.0104217529
Items fetched: 30000, Expected: 30000
"skiplimit",30000,200,161744.59828270806,327418.32733154297,229613.46308390299,152467.0124053955
Items fetched: 30000, Expected: 30000
"idlimit",30000,200,198694.75152757432,353387.59422302246,263828.3570607503,160243.35225423178
Items fetched: 30000, Expected: 30000
"skiplimit",30000,500,255064.2834769355,592680.6926727295,401615.6991322835,237294.59444681802
Items fetched: 30000, Expected: 30000
"idlimit",30000,500,182261.5596983168,280459.9603017171,239419.06293233237,172152.6781717936
Items fetched: 30000, Expected: 30000
"skiplimit",30000,1000,294613.2818857829,373540.0040944417,367534.6374511719,283947.07043965656
Items fetched: 30000, Expected: 30000
"idlimit",30000,1000,242886.33399539525,328151.30551656085,311713.0597432454,241854.98555501303
Items fetched: 30000, Expected: 30000
"skiplimit",30000,2000,489840.69294399687,803207.5564066569,803207.5564066569,441548.34747314453
Items fetched: 30000, Expected: 30000
"idlimit",30000,2000,346466.3717481825,401527.96109517413,401527.96109517413,336855.9678395589
Items fetched: 30000, Expected: 30000
"skiplimit",30000,5000,631009.3800226848,682896.3756561279,682896.3756561279,609672.3079681396
Items fetched: 30000, Expected: 30000
"idlimit",30000,5000,646488.5870615641,670474.2908477783,670474.2908477783,603146.473566691
Items fetched: 100000, Expected: 100000
"skiplimit",100000,200,185534.5671971639,406860.3515625,259926.31912231445,177169.9587504069
Items fetched: 34600, Expected: 100000
