"Approach","Count","Page Size","Mean (in microseconds)","p99 (in microseconds)","p95 (in microseconds)","p50 (in microseconds)"
"skiplimit",10000,5000,749340.6136830647,545325.2792358398,545325.2792358398,545325.2792358398
"idlimit",10000,5000,554263.5122934978,537524.7001647949,537524.7001647949,537524.7001647949
"skiplimit",60000,5000,539919.2704094781,566929.2608896891,566929.2608896891,542046.6264088949
"idlimit",60000,5000,547980.6198014154,614646.9116210938,614646.9116210938,534292.3005421957
"skiplimit",110000,5000,596401.4060569532,709935.2677663168,695657.9685211182,579024.9506632487
"idlimit",110000,5000,525434.7215999257,613663.6734008789,605987.3104095459,514552.6727040609
"skiplimit",160000,5000,578422.4818150202,704872.0518747965,702321.3704427084,556624.6509552002
"idlimit",160000,5000,568415.510157744,676701.0688781738,638714.5519256592,554997.0467885336
"skiplimit",210000,5000,650270.3995931715,847845.2364603678,795408.9641571045,626540.0250752767
"idlimit",210000,5000,630882.9519483779,768127.6798248291,716681.0035705566,638998.6673990885
"skiplimit",260000,5000,633209.7542591584,825123.3100891113,775480.3498586019,617084.5826466879
"idlimit",260000,5000,590132.522277343,738608.3602905273,701946.3380177816,582233.9852650961
"skiplimit",310000,5000,609052.7375539144,734868.049621582,716018.9151763916,604966.0046895345
"idlimit",310000,5000,532759.2857422368,744614.9984995524,636690.6960805258,511880.0004323324
"skiplimit",360000,5000,614306.3924930714,816894.2928314209,751184.7813924154,606254.9750010172
"idlimit",360000,5000,531225.3225732732,786244.3129221598,664719.3431854248,511986.97090148926
"skiplimit",410000,5000,599241.6569857093,839671.2938944498,682575.7026672363,590917.4283345541
"idlimit",410000,5000,577263.364946939,750129.3023427328,688620.2494303385,575456.3013712565
"skiplimit",460000,5000,608382.2906881139,788463.5925292969,707679.033279419,598956.9028218588
"idlimit",460000,5000,541699.3697484335,709033.0918629965,657450.5964914957,533640.3846740723
"skiplimit",510000,5000,627826.4288808785,734599.3518829346,707181.453704834,631628.0364990234
"idlimit",510000,5000,514783.5873310862,628247.0226287842,594678.3224741617,512320.04165649414
"skiplimit",560000,5000,615714.9275143942,760973.3740488688,741065.0253295898,605122.2483317057
"idlimit",560000,5000,505330.7676599139,662299.7124989828,628627.3797353109,489398.63840738934
"skiplimit",610000,5000,611132.414614568,738712.7081553141,731971.025466919,607597.9868570963
"idlimit",610000,5000,476039.8343612587,633472.9194641113,573856.0358683268,461555.40148417157
"skiplimit",660000,5000,580109.6751232339,776306.6291809082,713397.0260620117,601534.922917684
"idlimit",660000,5000,523062.8480814924,666660.9446207682,640120.9036509196,513575.71283976233
"skiplimit",710000,5000,620963.3092925022,1185132.344563802,954139.0736897787,570785.919825236
"idlimit",710000,5000,536944.0138060162,967073.9968617758,811998.6057281494,510744.65115865075
"skiplimit",760000,5000,820951.7582466728,1473882.2778065999,1186563.9686584473,747937.9177093506
"idlimit",760000,5000,768476.4736577084,2157523.7115224204,1328824.9969482422,646472.6130167643
"skiplimit",810000,5000,839617.4770323827,1307480.6531270344,1173059.7019195557,841710.7264200846
"idlimit",810000,5000,779726.5150910052,1180654.0489196777,1081147.59127299,784269.650777181
"skiplimit",860000,5000,1055817.3249858294,1893333.6734771729,1557395.6966400146,1028955.062230428
"idlimit",860000,5000,6784444.002680076,14719031.969706217,12442613.68115743,11204993.00956726
"skiplimit",910000,5000,887189.0441838638,1475722.6308186848,1321608.304977417,838539.2824808756
"idlimit",910000,5000,751374.0839975658,1452515.1252746582,1135650.9526570637,702031.9302876791
"skiplimit",960000,5000,960742.5497637854,1537192.0267740886,1237974.6437072754,936818.2023366293
"idlimit",960000,5000,784295.1909535461,1537727.67384847,1089948.9720662434,735832.691192627
